Complexity,Loss,Equation
1,0.00029784627,"0.7247535"
5,0.0001521652,"(-0.07247419 / x0) - -0.7374462"
7,0.00015216514,"((x0 * 0.73744595) + -0.07247413) / x0"
9,6.5328524e-5,"(-0.07247619 / x0) - (-0.7445349 - (-0.25595388 / x1))"
11,6.532842e-5,"(-0.072476774 / x0) - (-0.7445367 - ((0.37196642 / x1) * -0.688248))"
13,6.0574333e-5,"(-0.31100956 / ((x0 * 2.43328) * x0)) - ((0.2562005 / x1) + -0.7393169)"
17,3.1602274e-5,"(-0.2989333 / (x0 * (x0 + x0))) - (-0.738379 + (((x0 * 0.21896304) / x1) / x1))"
19,3.0578547e-5,"(-0.2857963 / ((x0 * x0) + 3.3244264)) - (((x0 * ((-0.44745484 / x1) / -1.8835495)) / x1) + -0.73986703)"
21,3.0080004e-5,"(-0.28308406 / ((x0 * x0) + 3.324731)) - ((((x0 + -0.37364778) * ((-0.43535125 / x1) / -1.8864276)) / x1) + -0.7396012)"
23,2.8616365e-5,"(-0.29173362 / (x0 * (x0 + 1.5917169))) - (((-0.05186806 / (x1 / (x1 / -1.6744301))) * ((x0 * 0.7783509) / x1)) + -0.7419286)"
27,2.798016e-5,"(-0.28270355 / ((x0 * x0) + 2.764385)) - (((((x0 + (x0 / (x1 / -1.1108234))) + (-1.8422529 / x1)) * (-0.032758605 / x1)) / -1.1683846) + -0.7427384)"
